"accelRating","age","agilityRating","awareRating","bCVRating","bigHitTrait","birthDay","birthMonth","birthYear","blockShedRating","breakSackRating","breakTackleRating","cITRating","capHit","capReleaseNetSavings","capReleasePenalty","carryRating","catchRating","changeOfDirectionRating","clutchTrait","college","confRating","contractBonus","contractLength","contractSalary","contractYearsLeft","coverBallTrait","dLBullRushTrait","dLSpinTrait","dLSwimTrait","desiredBonus","desiredLength","desiredSalary","devTrait","draftPick","draftRound","dropOpenPassTrait","durabilityGrade","experiencePoints","feetInBoundsTrait","fightForYardsTrait","finesseMovesRating","firstName","forcePassTrait","hPCatchTrait","height","highMotorTrait","hitPowerRating","homeState","homeTown","impactBlockRating","injuryLength","injuryRating","injuryType","intangibleGrade","isActive","isFreeAgent","isOnIR","isOnPracticeSquad","jerseyNum","jukeMoveRating","jumpRating","kickAccRating","kickPowerRating","kickRetRating","lBStyleTrait","lastName","leadBlockRating","legacyScore","manCoverRating","passBlockFinesseRating","passBlockPowerRating","passBlockRating","penaltyTrait","physicalGrade","playActionRating","playBallTrait","playRecRating","playerBestOvr","playerSchemeOvr","portraitId","posCatchTrait","position","powerMovesRating","predictTrait","presentationId","pressRating","productionGrade","pursuitRating","qBStyleTrait","reSignStatus","releaseRating","rookieYear","rosterId","routeRunDeepRating","routeRunMedRating","routeRunShortRating","runBlockFinesseRating","runBlockPowerRating","runBlockRating","runStyle","scheme","sensePressureTrait","sizeGrade","skillPoints","specCatchRating","speedRating","spinMoveRating","staminaRating","stiffArmRating","strengthRating","stripBallTrait","tackleRating","teamId","teamSchemeOvr","throwAccDeepRating","throwAccMidRating","throwAccRating","throwAccShortRating","throwAwayTrait","throwOnRunRating","throwPowerRating","throwUnderPressureRating","tightSpiralTrait","toughRating","truckRating","weight","yACCatchTrait","yearsPro","zoneCoverRating","id","team","signatureSlotList"
90,28,82,68,42,0,30,9,1991,57,12,29,32,750000,700000,100000,59,54,72,0,"Oregon State",50,100000,2,1400000,2,4,0,0,1,0,0,0,0,21,36,0,0,6585,0,0,61,"D.J.",2,0,74,1,76,4,"Palm Desert",79,0,81,97,66,true,false,false,false,52,62,82,19,17,10,2,"Alexander",19,9,56,45,45,45,1,82,6,1,66,66,66,7646,0,"LOLB",49,0,2643,56,0,79,0,11,15,2014,553910300,5,5,15,45,45,45,1,13,1,99,0,35,86,55,79,50,69,0,78,1010302976,66,6,6,25,6,0,6,25,15,0,68,42,233,0,5,62,"553910300","49ers",
95,25,94,58,69,0,11,4,1995,58,15,43,51,1250000,1150000,200000,63,64,85,0,"Penn State",50,200000,2,2300000,2,2,0,0,0,0,0,0,0,21,30,0,0,957,0,0,47,"Troy",2,0,73,1,76,37,"Mt. Lebanon",66,0,92,97,70,true,false,false,false,21,68,94,12,16,45,1,"Apke",18,13,70,35,35,35,1,88,10,2,54,70,70,8803,0,"FS",39,0,13374,72,0,69,0,11,30,2017,553910349,25,33,39,35,35,35,3,11,1,98,0,65,94,58,86,49,59,0,69,1010302976,70,10,10,30,10,0,10,30,17,0,85,50,205,0,2,74,"553910349","49ers",
83,24,78,82,41,0,25,6,1996,73,12,16,42,2750000,2350000,1600000,53,49,64,0,"Tennessee",49,1600000,4,9400000,4,4,1,0,0,0,0,0,1,14,11,0,0,420,0,0,69,"Derek",2,0,75,1,85,41,"Nashville",81,0,87,97,77,true,false,false,false,96,37,76,15,23,10,0,"Barnett",11,252,32,45,45,45,0,80,6,1,79,77,77,8475,0,"RE",79,0,12530,26,0,83,0,11,22,2016,553910396,13,17,24,45,45,45,2,11,1,95,1,46,76,28,77,46,86,0,79,1010302976,77,6,6,19,6,0,6,28,15,0,84,38,259,0,3,46,"553910396","49ers",
77,31,59,87,15,0,8,6,1989,40,12,12,10,1000000,950000,100000,30,42,48,0,"SMU",50,100000,2,1900000,2,4,0,0,0,0,0,0,0,14,33,0,0,21225,0,0,30,"Kelvin",2,0,75,0,25,42,"Mexia",79,0,95,97,70,true,false,false,false,68,20,78,17,12,10,1,"Beachum Jr",80,62,15,76,72,73,0,80,6,1,15,70,70,5038,0,"LT",30,0,11673,10,0,30,0,11,15,2011,553910417,5,5,10,74,71,72,15,3,1,92,0,15,56,25,81,17,84,0,45,1010302976,70,6,6,12,6,0,6,12,14,0,71,24,308,0,8,25,"553910417","49ers",
90,30,92,68,87,0,29,12,1989,35,27,74,81,1000000,950000,100000,74,79,85,0,"Miami",50,100000,2,1900000,2,4,0,0,0,0,0,0,0,21,34,1,0,983,0,0,20,"Travis",2,0,70,0,12,8,"Belle Glade",43,0,81,97,69,true,false,false,false,84,94,87,15,20,92,1,"Benjamin",23,102,15,15,13,26,1,86,10,1,15,75,75,5044,1,"WR",15,0,11454,13,0,19,0,11,74,2011,553910438,83,80,76,29,32,48,8,0,1,79,0,81,91,83,80,39,38,0,20,1010302976,69,10,10,25,10,0,10,30,20,0,63,37,175,1,8,20,"553910438","49ers",
83,25,74,65,31,0,17,7,1995,15,57,37,10,0,0,0,55,23,78,0,"Virginia",50,0,0,0,0,4,0,0,0,0,1,750000,0,21,54,0,0,3147,0,0,10,"Kurt",2,0,76,1,12,8,"Cape Coral",30,0,83,97,50,true,false,false,true,14,46,76,12,17,10,1,"Benkert",20,0,7,15,25,15,1,80,73,1,15,55,55,8819,0,"QB",10,0,13376,10,0,19,0,11,12,2017,553910439,10,10,10,20,15,15,1,4,0,92,0,12,74,32,71,24,66,0,17,1010302976,50,68,72,77,78,0,70,82,68,1,78,30,217,0,2,10,"553910439","49ers",
89,25,86,62,76,0,30,7,1995,26,19,74,64,500000,500000,0,86,67,80,0,"Cincinnati",50,0,1,500000,1,4,0,0,0,0,0,0,0,21,46,0,0,2635,0,1,12,"Mike",2,0,70,1,21,8,"Glen St. Mary",40,0,79,97,67,true,false,false,false,24,82,93,12,19,78,1,"Boone",42,0,14,26,31,39,1,86,10,1,20,67,67,9326,0,"HB",11,0,13300,16,0,38,0,0,55,2017,553910483,47,53,59,33,34,43,3,2,1,96,0,59,90,76,84,78,69,0,33,1010302976,67,15,25,28,30,0,10,35,16,0,82,65,205,0,2,19,"553910483","49ers",
82,25,63,60,30,0,2,9,1994,67,12,17,31,500000,500000,0,34,37,53,0,"Florida",50,0,1,500000,1,4,1,0,0,0,0,0,0,14,51,0,0,3052,0,0,58,"Caleb",2,0,74,1,81,8,"Crescent City",86,0,88,97,64,true,false,false,false,91,35,68,11,19,10,0,"Brantley",36,5,22,45,45,45,1,82,6,1,57,66,66,8488,0,"DT",68,0,12546,13,0,79,0,0,16,2016,553910515,8,12,20,45,45,45,13,11,1,94,0,35,69,23,71,36,89,0,80,1010302976,64,6,6,40,6,0,6,28,10,0,80,37,307,0,3,30,"553910515","49ers",
83,31,68,93,10,0,19,8,1989,30,12,5,10,2500000,2150000,1400000,30,35,58,0,"Miami of Ohio",50,1400000,4,8600000,4,4,0,0,0,0,0,0,2,21,16,0,0,13447,0,0,10,"Brandon",2,0,77,1,25,48,"Milwaukee",90,30,84,5,92,false,false,false,false,79,10,82,20,22,10,1,"Brooks",82,4500,12,90,94,92,2,92,6,1,10,93,93,5713,0,"RG",10,0,11491,10,0,21,0,11,12,2011,553910534,5,5,10,94,86,91,15,2,1,99,0,12,72,10,81,10,96,0,40,1010302976,92,6,6,35,6,0,6,9,13,0,78,30,335,0,8,12,"553910534","49ers","[{""isEmpty"":false,""locked"":false,""ovrThreshold"":70,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Blockers with this ability defend against swim/club pass rush moves as if they had an additional resistance point."",""signatureLogoId"":1330,""signatureTitle"":""Lifeguard"",""startActivated"":false,""unlockRequirement"":""""}},{""isEmpty"":false,""locked"":false,""ovrThreshold"":80,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Blockers with this ability are almost guaranteed to win any double team block they are engaged in"",""signatureLogoId"":1236,""signatureTitle"":""Post Up"",""startActivated"":false,""unlockRequirement"":""""}}]"
77,26,65,72,50,0,27,1,1994,20,12,32,50,500000,500000,0,49,53,53,0,"San Diego State",50,0,1,500000,1,4,0,0,0,0,0,0,0,21,52,0,0,5057,0,1,10,"Daniel",2,0,77,1,38,4,"San Diego",78,0,91,97,62,true,false,false,false,60,48,71,20,21,10,1,"Brunskill",75,12,12,69,65,68,1,78,6,1,15,62,62,8495,1,"RT",10,0,12753,10,0,29,1,0,35,2016,553910570,21,29,39,68,64,67,11,2,1,99,0,46,66,23,83,44,80,0,33,1010302976,62,6,6,30,6,0,6,27,6,0,88,39,300,1,3,15,"553910570","49ers",
